time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
5.0,39.9155757,172.36374999999998,3.0023529531414956,2.7688929898581662,2.8062284134819553,1.0,1,0.1,10%
5.25,39.6770829,183.28374999999997,3.060785659782853,2.81253375207843,2.847083907056538,1.0,1,0.1,10%
5.5,39.4385901,194.20374999999996,3.1124457711937494,2.8495826073646957,2.890527990904812,1.0,1,0.1,10%
5.75,39.25604865,205.12374999999994,3.158779143786867,2.8814264895405906,2.9365290445748964,1.0,1,0.1,10%
6.0,39.13680225,216.04374999999993,3.2008879479341963,2.909120609704098,2.9850657590679948,1.0,1,0.1,10%
6.25,39.01755585,226.96374999999992,3.2396348249481903,2.9500211905022966,3.036125043258262,1.0,1,0.1,10%
6.5,38.898309450000006,237.8837499999999,3.2757027677312958,3.556339436441041,3.0868074292862935,1.0,1,0.1,10%
6.75,38.779063050000005,248.8037499999999,3.3096128460190735,3.025360127513033,3.037696012262088,1.0,1,0.1,10%
7.0,38.65981665,259.7237499999999,3.3417628943155497,3.0606136984909935,3.0874402380006454,1.0,1,0.1,10%
7.25,38.54057025,270.6437499999999,3.372456952893044,3.0971304103730937,3.1366413472699426,1.0,1,0.1,10%
7.5,38.42132385,281.5637499999999,3.401927672034524,3.1326736016121717,3.184823492210934,1.0,1,0.1,10%
7.75,38.30207745,292.48374999999993,3.4303533614252273,3.1673987669168358,3.2319429545348455,1.0,1,0.1,10%
8.0,38.18283105,303.40374999999995,3.4578709645951013,3.2014248802478344,3.277960008573814,1.0,1,0.1,10%
8.25,38.205190247656255,314.32374999999996,3.4845859323947033,3.228457541459412,3.3228380733345855,1.0,1,0.1,10%
8.5,38.226215269531245,325.28437499999995,3.521793990280683,5.379492396661496,3.3676605417482612,1.0,1,0.1,10%
8.75,38.24590116445312,336.285625,3.5669579492647365,3.3094815483944977,3.042563320631619,1.0,1,0.1,10%
9.0,38.26424298125,347.3275,3.6181434956918355,3.3593594003059724,3.087621690783911,1.0,1,0.1,10%
9.25,38.141421175,358.40999999999997,3.6738740600023974,3.388492115363986,3.132908907476437,1.0,1,0.1,10%
9.5,38.018599368749996,369.49249999999995,3.7215193481828788,3.409531355906989,3.182850747788159,1.0,1,0.1,10%
9.75,37.8957775625,380.57499999999993,3.7628962927573975,3.424279840440671,3.23744864643644,1.0,1,0.1,10%
10.0,37.77295575625,391.6574999999999,3.799389878161375,3.4341051371053055,3.2967065255918673,1.0,1,0.1,10%
10.25,37.65013395,402.7399999999999,3.8320561198434415,3.459675108383625,3.3606313552766793,1.0,1,0.1,10%
10.5,37.52731214375,413.8224999999999,3.8617004891487836,5.734927484668621,3.425798032282147,1.0,1,0.1,10%
10.75,37.4044903375,424.90499999999986,3.888937638702425,3.5030004396720056,3.0979833080661754,1.0,1,0.1,10%
11.0,37.28166853125,435.98749999999984,3.9142368870088715,3.5217485258747177,3.1655223178964986,1.0,1,0.1,10%
11.25,37.158846725000004,447.0699999999998,3.937956857845943,5.142329297501191,3.2342077810949754,1.0,1,0.1,10%
11.5,37.03602491875,458.1524999999998,3.960371860387317,3.5563050204016498,3.023442604155307,1.0,1,0.1,10%
11.75,36.9132031125,469.2349999999998,3.9816919793967767,3.571954970833956,3.0941543011527988,1.0,1,0.1,10%
12.0,36.790381306250005,480.31749999999977,4.0020783752660245,3.5867306752457906,3.1658582776512922,1.0,1,0.1,10%
12.25,36.806107125000004,491.39999999999975,4.021654936061572,3.6053902743098836,3.2385441251548333,1.0,1,0.1,10%
12.5,36.820437197656254,502.52437499999974,4.0532915680097235,3.6348758527199854,3.311390440961379,1.0,1,0.1,10%
12.75,36.83336626367188,513.6906249999997,4.094028871272696,3.67254271380867,3.384613191137083,1.0,1,0.1,10%
13.0,36.84488906250001,524.8987499999997,4.141610437487906,3.7163736920266635,3.4583732686932875,1.0,1,0.1,10%
13.25,36.7183265625,536.1487499999997,4.194313976331994,3.7648285459529034,3.532789699149005,1.0,1,0.1,10%
13.5,36.591764062500005,547.3987499999997,4.237849829920271,3.8050811350200413,3.607949649465346,1.0,1,0.1,10%
13.75,36.465201562500006,558.6487499999997,4.274302472666003,3.8389960216618015,3.683684171072886,1.0,1,0.1,10%
14.0,36.33863906250001,569.8987499999997,4.305261789368349,3.8679957231002575,3.759862799998621,1.0,1,0.1,10%
14.25,36.21207656250001,581.1487499999997,4.331940690668054,3.893165728260202,3.8363843615955373,1.0,1,0.1,10%
14.5,36.08551406250001,592.3987499999997,4.355264755857914,3.9153345631958554,3.9131699800169115,1.0,1,0.1,10%
14.75,35.958951562500005,603.6487499999997,4.375940555859599,3.9351348334019227,3.9901577637327716,1.0,1,0.1,10%
15.0,35.832389062500006,614.8987499999997,4.394507726921352,3.953049762824946,4.067298765162865,1.0,1,0.1,10%
15.25,35.7058265625,626.1487499999997,4.411378659646747,3.9694486755014995,4.144553908879736,1.0,1,0.1,10%
15.5,35.5792640625,637.3987499999997,4.4268687488334555,3.984614047011715,4.2218916561051545,1.0,1,0.1,10%
15.75,35.4527015625,648.6487499999997,4.441219449069419,5.415179493566007,4.299286228923959,1.0,1,0.1,10%
16.0,35.326139062500005,659.8987499999997,4.454615847111584,4.743966041389347,4.128843221137056,1.0,1,0.1,10%
16.25,35.33059720859376,671.1487499999997,4.467200055134436,4.027083129702487,4.0782069371384475,1.0,1,0.1,10%
16.5,35.33363856640626,682.4406249999997,4.493098520120385,4.054141890373334,4.155227399089038,1.0,1,0.1,10%
16.75,35.33525787539063,693.7743749999997,4.529008025387922,4.090284716346603,4.232044809294772,1.0,1,0.1,10%
17.0,35.33544987500001,705.1499999999997,4.572409272326368,4.13325908237969,4.308821388377003,1.0,1,0.1,10%
17.25,35.20509056875,716.5674999999998,4.621378987528061,4.181343411455481,4.385672671617671,1.0,1,0.1,10%
17.5,35.07473126250001,727.9849999999998,4.660317295113936,4.220424120231512,4.462678897430373,1.0,1,0.1,10%
17.75,34.94437195625,739.4024999999998,4.691523906519112,4.252560885765163,4.5396602030347974,1.0,1,0.1,10%
18.0,34.81401265,750.8199999999998,4.716754075720562,4.279327019492312,4.616478731666739,1.0,1,0.1,10%
18.25,34.68365334375,762.2374999999998,4.737347728228165,4.301924478651995,4.693028466506682,1.0,1,0.1,10%
